03/08/21,,,,,Actual,Previous,Consensus,Forecast,
04:00:00 PM,,US,,Consumer Inflation Expectations FEB,3.09%,3.05%, ,3%, 
03/10/21,,,,,Actual,Previous,Consensus,Forecast,
01:30:00 PM,,US,,Core Inflation Rate YoY FEB,1.3%,1.40%,1.4%,1.4%, 
01:30:00 PM,,US,,Inflation Rate YoY FEB,1.7%,1.40%,1.7%,1.6%, 
01:30:00 PM,,US,,Inflation Rate MoM FEB,0.4%,0.30%,0.4%,0.3%, 
01:30:00 PM,,US,,Core Inflation Rate MoM FEB,0.1%,0.00%,0.20%,0.10%,
01:30:00 PM,,US,,CPI FEB,263.014,261.582,263.082,, 
03/12/21,,,,,Actual,Previous,Consensus,Forecast,
01:30:00 PM,,US,,PPI MoM FEB,0.5%,1.30%,0.5%,0.3%, 
01:30:00 PM,,US,,Core PPI YoY FEB,2.5%,2.00%,2.6%,2.3%, 
01:30:00 PM,,US,,Core PPI MoM FEB,0.2%,1.20%,0.2%,0.2%, 
01:30:00 PM,,US,,PPI YoY FEB,2.8%,1.70%,2.7%,2.2%, 
03:00:00 PM,,US,,Michigan Inflation Expectations Prel MAR,3.1%,3.30%, ,3.4%, 
03:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Prel MAR,2.7%,2.70%, ,2.7%, 
03/16/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Export Prices YoY FEB,5.2%,2.30%, ,2.2%, 
12:30:00 PM,,US,,Import Prices YoY FEB,3%,1% ®, ,1%, 
12:30:00 PM,,US,,Export Prices MoM FEB,1.6%,2.50%,0.9%,1%, 
12:30:00 PM,,US,,Import Prices MoM FEB,1.3%,1.40%,1.2%,1.2%, 
03/25/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,GDP Price Index QoQ Final Q4,1.9%,3.70%,2.00%,2.00%,
12:30:00 PM,,US,,PCE Prices QoQ Final Q4,1.5%,3.70%,1.5%,1.6%, 
12:30:00 PM,,US,,Core PCE Prices QoQ Final Q4,1.3%,3.40%,1.4%,2.3%, 
03/26/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PCE Price Index MoM FEB,0.2%,0.30%, ,0.4%, 
12:30:00 PM,,US,,PCE Price Index YoY FEB,1.6%,1.4% ®, ,1.7%, 
12:30:00 PM,,US,,Core PCE Price Index MoM FEB,0.1%,0.2% ®,0.1%,0.2%, 
12:30:00 PM,,US,,Core PCE Price Index YoY FEB,1.4%,1.50%,1.5%,1.4%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Final MAR,2.8%,2.70%, ,2.7%, 
02:00:00 PM,,US,,Michigan Inflation Expectations Final MAR,3.1%,3.30%, ,3.1%, 
04/09/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PPI MoM MAR,1%,0.50%,0.5%,0.4%, 
12:30:00 PM,,US,,Core PPI MoM MAR,0.7%,0.20%,0.2%,0.2%, 
12:30:00 PM,,US,,Core PPI YoY MAR,3.1%,2.50%,2.7%,2.7%, 
12:30:00 PM,,US,,PPI YoY MAR,4.2%,2.80%,3.8%,3.5%, 
04/12/21,,,,,Actual,Previous,Consensus,Forecast,
03:00:00 PM,,US,,Consumer Inflation Expectations MAR,3.2%,3.09%, ,3.1%, 
04/13/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Core Inflation Rate YoY MAR,1.6%,1.30%,1.5%,1.6%, 
12:30:00 PM,,US,,Inflation Rate YoY MAR,2.6%,1.70%,2.5%,2.6%, 
12:30:00 PM,,US,,Inflation Rate MoM MAR,0.6%,0.40%,0.5%,0.6%, 
12:30:00 PM,,US,,Core Inflation Rate MoM MAR,0.3%,0.10%,0.20%,0.30%,
12:30:00 PM,,US,,CPI MAR,264.877,263.014,264.69,, 
04/14/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Import Prices YoY MAR,6.9%,3.00%, ,6.3%, 
12:30:00 PM,,US,,Export Prices YoY MAR,9.1%,5.3% ®, ,7.6%, 
12:30:00 PM,,US,,Import Prices MoM MAR,1.2%,1.30%,1%,0.7%, 
12:30:00 PM,,US,,Export Prices MoM MAR,2.1%,1.60%,1%,0.8%, 
04/16/21,,,,,Actual,Previous,Consensus,Forecast,
02:00:00 PM,,US,,Michigan Inflation Expectations Prel APR,3.7%,3.10%, ,3.2%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Prel APR,2.7%,2.80%, ,2.8%, 
04/29/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,GDP Price Index QoQ Adv Q1,4.1%,1.90%,2.50%,2.80%,
12:30:00 PM,,US,,Core PCE Prices QoQ Adv Q1,2.3%,1.30%,2.4%,2.1%, 
12:30:00 PM,,US,,PCE Prices QoQ Adv Q1,3.5%,1.50%, ,, 
04/30/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PCE Price Index YoY MAR,2.3%,1.5% ®, ,1.9%, 
12:30:00 PM,,US,,PCE Price Index MoM MAR,0.5%,0.20%, ,0.3%, 
12:30:00 PM,,US,,Core PCE Price Index YoY MAR,1.8%,1.40%,1.8%,1.7%, 
12:30:00 PM,,US,,Core PCE Price Index MoM MAR,0.4%,0.10%,0.3%,0.2%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Final APR,2.7%,2.80%, ,2.7%, 
02:00:00 PM,,US,,Michigan Inflation Expectations Final APR,3.4%,3.10%, ,3.7%, 
05/10/21,,,,,Actual,Previous,Consensus,Forecast,
03:00:00 PM,,US,,Consumer Inflation Expectations APR,3.4%,3.20%, ,3.3%, 
05/12/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Inflation Rate YoY APR,4.2%,2.60%,3.6%,3.8%, 
12:30:00 PM,,US,,Core Inflation Rate YoY APR,3%,1.60%,2.3%,2.2%, 
12:30:00 PM,,US,,Inflation Rate MoM APR,0.8%,0.60%,0.2%,0.3%, 
12:30:00 PM,,US,,Core Inflation Rate MoM APR,0.9%,0.30%,0.30%,0.20%,
12:30:00 PM,,US,,CPI APR,267.054,264.877,265.584,, 
05/13/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PPI MoM APR,0.6%,1.00%,0.3%,0.5%, 
12:30:00 PM,,US,,Core PPI YoY APR,4.1%,3.10%,3.7%,3.8%, 
12:30:00 PM,,US,,Core PPI MoM APR,0.7%,0.70%,0.4%,0.3%, 
12:30:00 PM,,US,,PPI YoY APR,6.2%,4.20%,5.9%,6.1%, 
05/14/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Export Prices YoY APR,14.4%,9.5% ®, ,13.9%, 
12:30:00 PM,,US,,Import Prices YoY APR,10.6%,7% ®, ,7.3%, 
12:30:00 PM,,US,,Import Prices MoM APR,0.7%,1.4% ®,0.6%,0.7%, 
12:30:00 PM,,US,,Export Prices MoM APR,0.8%,2.4% ®,0.6%,0.7%, 
02:00:00 PM,,US,,Michigan Inflation Expectations Prel MAY,4.6%,3.40%, ,3.8%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Prel MAY,3.1%,2.70%, ,2.8%, 
